state,year,12_17,18_25,26_plus,se_12_17,se_18_25,se_26_plus,rml
New York,2008,17.43,65.58,58.18,0.7525510204081631,13.20408163265306,1.1428571428571421,never
North Carolina,2008,14.11,57.49,47.4,1.0841836734693882,12.561224489795919,2.1071428571428568,never
North Dakota,2008,20.21,75.63,60.75,1.3392857142857144,15.609693877551022,1.984693877551019,never
Ohio,2008,16.25,64.48,53.61,0.6862244897959187,13.155612244897958,1.081632653061225,never
Oklahoma,2008,13.13,56.89,42.97,1.173469387755102,12.798469387755103,1.982142857142856,never
Oregon,2008,16.57,65.17,63.13,1.229591836734694,13.877551020408164,1.9770408163265307,before
Pennsylvania,2008,15.1,65.6,56.78,0.7066326530612244,13.737244897959187,1.0612244897959193,never
Rhode Island,2008,20.73,74.59,64.13,1.4668367346938775,15.334183673469388,1.9540816326530621,never
South Carolina,2008,13.36,53.47,49.88,1.0994897959183676,11.785714285714285,1.8647959183673475,never
South Dakota,2008,17.28,71.42,59.97,1.2423469387755104,15.283163265306122,1.9438775510204076,never
Tennessee,2008,12.33,53.77,41.77,1.0943877551020411,12.048469387755102,1.9693877551020407,never
Texas,2008,14.14,57.48,49.94,0.6632653061224489,11.928571428571429,1.0714285714285703,never
Utah,2008,7.57,30.37,30.62,0.9540816326530613,7.385204081632653,1.9515306122448977,never
Vermont,2008,20.31,73.95,63.32,1.3469387755102036,15.188775510204083,1.9974489795918364,never
Virginia,2008,14.77,64.38,56.61,1.1275510204081638,14.19642857142857,1.9591836734693877,never
Washington,2008,15.8,62.96,60.66,1.2193877551020407,13.525510204081632,1.9362244897959193,before
West Virginia,2008,13.92,52.96,38.78,1.1198979591836742,11.492346938775512,1.877551020408165,never
Wisconsin,2008,18.71,71.34,63.91,1.3826530612244903,14.903061224489795,1.895408163265308,never
Wyoming,2008,17.86,64.44,55.76,1.2704081632653061,13.423469387755103,2.017857142857142,never
Alabama,2009,12.72,54.51,44.84,1.0714285714285716,12.142857142857142,1.9336734693877546,never
Alaska,2009,14.23,60.34,59.28,1.2576530612244903,13.392857142857142,1.9515306122448977,before
Arizona,2009,14.72,59.45,54.73,1.3010204081632653,13.051020408163264,1.9821428571428579,never
Arkansas,2009,15.44,55.93,44.78,1.2372448979591837,11.933673469387756,1.9821428571428579,never
California,2009,14.05,59.71,54.02,0.6938775510204084,12.581632653061225,1.1326530612244892,before
Colorado,2009,20.27,69.55,66.01,1.5204081632653064,14.255102040816325,1.9030612244897962,before
Connecticut,2009,18.63,67.78,63.07,1.4795918367346936,14.191326530612246,1.9387755102040838,never
Delaware,2009,16.29,68.56,59.19,1.3265306122448979,14.85969387755102,2.1071428571428568,never
Florida,2009,15.29,56.8,54.64,0.7627551020408164,11.556122448979592,1.1224489795918364,never
Georgia,2009,13.52,58.2,52.32,1.1632653061224492,12.979591836734695,2.0051020408163263,never
Hawaii,2009,11.61,57.1,50.96,1.204081632653061,13.293367346938776,2.035714285714285,never
Idaho,2009,13.01,52.41,49.11,1.1836734693877553,11.622448979591837,1.8622448979591848,never
Illinois,2009,15.05,64.87,57.53,0.7168367346938781,13.622448979591836,1.1020408163265307,never
Indiana,2009,14.48,57.96,50.69,1.2040816326530615,12.683673469387754,1.8954081632653061,never
Iowa,2009,17.29,69.21,59.35,1.3341836734693875,14.775510204081634,1.8545918367346947,never
Kansas,2009,15.91,66.39,56.66,1.2806122448979587,14.451530612244897,2.0280612244897966,never
Kentucky,2009,12.24,50.58,40.08,1.0892857142857142,11.301020408163264,1.8545918367346947,never
Louisiana,2009,15.29,61.65,50.3,1.2780612244897964,13.352040816326532,1.9591836734693877,never
Maine,2009,14.38,65.64,58.12,1.1785714285714288,14.576530612244898,1.9821428571428579,before
Maryland,2009,13.29,60.82,58.03,1.2397959183673468,13.744897959183676,2.102040816326531,never
Massachusetts,2009,16.69,72.45,64.92,1.3545918367346945,15.755102040816325,1.8801020408163278,before
Michigan,2009,14.56,63.64,58.38,0.6913265306122451,13.400510204081634,1.081632653061225,never
Minnesota,2009,14.56,68.33,65.58,1.2525510204081638,15.24234693877551,1.920918367346939,never
Mississippi,2009,12.74,52.89,41.92,1.1326530612244896,11.74234693877551,1.887755102040816,never
Missouri,2009,13.76,60.99,52.75,1.1352040816326534,13.576530612244898,1.982142857142856,never
Montana,2009,21.46,68.93,61.81,1.489795918367347,13.721938775510203,2.017857142857142,never
Nebraska,2009,13.79,65.31,56.73,1.1887755102040813,14.66326530612245,2.033163265306122,never
Nevada,2009,15.15,60.35,58.62,1.2219387755102038,13.135204081632656,2.2117346938775513,before
New Hampshire,2009,17.62,75.12,67.88,1.3035714285714284,16.163265306122447,1.8775510204081631,never
New Jersey,2009,15.12,64.93,57.49,1.2015306122448977,14.188775510204083,2.216836734693877,never
New Mexico,2009,15.64,57.06,50.09,1.3239795918367345,12.196428571428573,2.0459183673469394,never
New York,2009,16.78,66.34,58.55,0.7882653061224489,13.604591836734693,1.160714285714287,never
North Carolina,2009,12.75,58.46,49.99,1.1147959183673468,13.150510204081634,1.9515306122448994,never
North Dakota,2009,18.91,71.74,59.45,1.403061224489796,15,1.992346938775509,never
Ohio,2009,14.91,65.39,54.01,0.6709183673469385,13.757653061224488,1.1479591836734695,never
Oklahoma,2009,13.86,59.09,47.36,1.3418367346938775,13.196428571428573,2.104591836734694,never
Oregon,2009,17.74,66.78,63.65,1.3163265306122445,14.0484693877551,1.9617346938775504,before
Pennsylvania,2009,14.98,68.45,58.1,0.7040816326530612,14.52295918367347,1.1096938775510208,never
Rhode Island,2009,18.19,71.13,62.89,1.4260204081632648,15.124999999999998,2.0025510204081636,never
South Carolina,2009,12.38,53.45,48.9,1.0969387755102038,11.994897959183673,2.0204081632653046,never
